name,city,state,website,services,primary_service,estimated_revenue,employee_count,employee_count_min,employee_count_max,ownership_type,is_pe_backed,key_contact_name,key_contact_title,phone,year_founded,google_rating,confidence_score,data_sources,description
Haynie & Company,Dallas,TX,https://hayniecpas.com/dallas-texas/?utm_source=core70&utm_medium=organic&utm_campaign=websiteurl,R&D Tax Credits; Cost Segregation,R&D Tax Credits,,5,,,,,,,(214) 296-0900,,5.0,0.85,google_places; website,Discover top Dallas CPA firms offering expert solutions tailored to your financial needs. Read on to find the right fit for your accounting challenges.
"JLK Rosenberger, LLP",Irvine,CA,https://jlkrosenberger.com,Cost Segregation; R&D Tax Credits,R&D Tax Credits,,200,,,,,,,(949) 860-9902,,4.6,0.85,google_places; website,"Learn about the accounting, tax, audit, and consulting services offered to companies, business owners, and high net worth individuals."
King of Kings Firm LLC,Atlanta,GA,https://kingofkingsllc.com/?utm_source=gbp&utm_medium=organic,Sales & Use Tax; Cost Segregation,Sales & Use Tax,,10,,,,,,,(678) 249-9899,2012,4.6,0.85,google_places; website,"Simplify your finances with King of Kings Firm. We provide tax, payroll, and bookkeeping solutions. Call now for a complimentary consultation."
Porte Brown,Elk Grove Village,IL,https://portebrown.com,Work Opportunity Tax Credits; Sales & Use Tax,Work Opportunity Tax Credits,,60,,,,,,,(847) 956-1040,,4.1,0.85,google_places; website,Searching for top CPA services in Chicago? Our expert team of accountants offers customized solutions to meet your business needs. Contact us today!
Manay CPA Inc.,Atlanta,GA,https://manaycpa.com,Sales & Use Tax,Sales & Use Tax,,652,51,200,Corporate-owned,,,,(404) 900-1040,2001,4.8,0.829,google_places; website; linkedin,"Trusted CPA Atlanta GA services by Manay CPA for tax, accounting, and financial planning. Get personalized solutions tailored to your business and personal financial needs."
Clarke CPA LLC,Atlanta,GA,https://clarkecpallc.com,Sales & Use Tax,Sales & Use Tax,,6,2,10,,,,,(404) 772-7792,2018,5.0,0.81,google_places; website; linkedin,"At Clarke CPA's & Advisors we offer services that support our firm’s mission to educate clients on how to reduce their tax liability and maximize after tax income. Through tax preparation, financial reporting, payroll processing and consulting services. 

clarkecpallc.com"
Kruze Consulting,San Francisco,CA,https://kruzeconsulting.com,Sales & Use Tax; R&D Tax Credits,Sales & Use Tax,,,,,Franchise,,,,(415) 322-1610,,5.0,0.805,google_places; website,"Elevate your VC-funded startup's growth with Kruze Consulting's expert accounting, ensuring transparency, compliance, and strategic planning."
BASTA & COMPANY,San Francisco,CA,https://bastacpa.com/?utm_source=web&utm_medium=googlebusinesspage,Sales & Use Tax,Sales & Use Tax,,5,,,Corporate-owned,,,,(415) 333-6262,,5.0,0.799,google_places; website,"CPA Firm Basta & Company helps real estate and tech companies with tax and accounting consultation in San Francisco, California for maximum profits."
Kevin Cawley - Cost Segregation Services Inc.,Chicago,IL,https://kevincawley.costsegregationservices.com,R&D Tax Credits; Cost Segregation,Cost Segregation,,,,,,,,,(773) 931-6498,2003,5.0,0.787,google_places; website,"Meet Kevin, a National Account Executive at CSSI since 2015, who leverages over a decade of construction management experience to guide builders through the complexities of cost segregation, 179D, and R&D credits."
ATC Income Tax,Atlanta,GA,https://atcincometax.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,25,,,,,,,(404) 696-8892,2004,4.9,0.78,google_places; website,"Choose ATC Income Tax for your tax needs, including tax refund advance and file taxes with confidence. Trust US’s top trusted tax service company."
Atc Financial L Lc,Atlanta,GA,https://atcincometax.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,25,,,,,,,(404) 755-3337,2004,5.0,0.78,google_places; website,"Choose ATC Income Tax for your tax needs, including tax refund advance and file taxes with confidence. Trust US’s top trusted tax service company."
"Cumberland Law Group, LLC | Tax Attorney",Atlanta,GA,https://cumberlandlawatlanta.com/?utm_source=gbp-atlanta,Sales & Use Tax,Sales & Use Tax,,21,,,,,,,(678) 539-0591,,4.9,0.78,google_places; website,"Looking for an experienced Atlanta area tax attorney? Cumberland Law Group provides expert tax lawyer services, including audit defense, penalty abatement, and tax debt resolution. Call (800) 960-5359 for help now!"
Kaufmann Advisors,San Francisco,CA,https://kaufmannadvisors.com,Cost Segregation; R&D Tax Credits,R&D Tax Credits,1000000,,,,,,,,(415) 746-9290,,5.0,0.76,google_places; website,"Kaufmann Advisors offers proactive Tax Planning and CFO systems. Founded by a strategic CPA, we wanted a better way to help business owners get organized, grow their business and pay less tax. Free Financial Assessment."
Swanson Reed | Specialist R&D Tax Advisors,San Francisco,CA,https://swansonreed.com/california,R&D Tax Credits,R&D Tax Credits,,,,,Franchise,,Our Leadership,CEO,(415) 795-9976,1984,5.0,0.754,google_places; website,Explore the California R&D Tax Credit options for corporations and flow-through entities. Unlimited credit carry forward available.
